Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality,Safety of care,Readmission,Patient experience,Effectiveness of care,Timeliness of care,Efficient use of medical imaging
220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,BRISTOL,5086745600,Acute Care Hospitals,Proprietary,Yes,Y,4,64,51,70,46,58,65,60
220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,HAMPDEN,4135342500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,29,27,22,29,24,38,37
220029,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,1950,ESSEX,9784631000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,79,75,76,46,80,58,53
220030,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,1069,HAMPDEN,4132837651,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,85,53,81,47,86,50,88
220031,BOSTON MEDICAL CENTER CORPORATION-,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,2118,SUFFOLK,6176388000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,39,67,79,48,39,34,37
220033,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,1915,ESSEX,9789223000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,43,88,76,75,67,82,42
220035,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,1970,ESSEX,9787411215,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,82,43,70,53,74,66,44
220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,2135,SUFFOLK,6177893000,Acute Care Hospitals,Proprietary,Yes,Y,3,46,52,42,52,58,42,68
220046,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,1201,BERKSHIRE,4134472000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,87,83,85,48,89,54,69
220049,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,1752,MIDDLESEX,5084815000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,36,61,46,66,58,59,69
220050,BAYSTATE MARY LANE HOSPITAL,85 SOUTH STREET,WARE,MA,1082,HAMPSHIRE,4139676211,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,70,50,55,84,75,52,55
220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,2302,PLYMOUTH,5089417000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,77,74,61,40,42,48,36
220058,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,1510,WORCESTER,9783683000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,67,76,33,45,66,78,79
220060,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,2360,PLYMOUTH,5087462000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,77,32,41,46,51,65,65
220062,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,1605,WORCESTER,5087999000,Acute Care Hospitals,Proprietary,No,Y,0,37,18,22,49,7,15,37
220063,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,1854,MIDDLESEX,9789376000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,21,30,52,27,70,35,46
220065,NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,MA,1085,HAMPDEN,4135682811,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,82,75,76,81,61,86,47
220066,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,1104,HAMPDEN,4137489000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,67,79,60,40,71,67,78
220070,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,2176,MIDDLESEX,7819793000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,59,59,47,76,56,55,49
220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,2114,SUFFOLK,6177262000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,41,64,47,63,52,42,65
220073,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,2780,BRISTOL,5088287000,Acute Care Hospitals,Proprietary,Yes,Y,2,67,31,32,47,23,57,64
220074,"SOUTHCOAST HOSPITAL GROUP, INC",363 HIGHLAND AVENUE,FALL RIVER,MA,2720,BRISTOL,5086793131,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,39,50,62,43,43,34,56
220075,MASSACHUSETTS EYE AND EAR INFIRMARY,243 CHARLES STREET,BOSTON,MA,2114,SUFFOLK,6175237900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,0,44,43,17,41,26,15,25
220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,1199,HAMPDEN,4137940000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,58,80,43,66,39,36,65
220080,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,MA,1844,ESSEX,9786870156,Acute Care Hospitals,Proprietary,Yes,Y,3,67,36,66,41,45,41,52
220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,2494,NORFOLK,7814533002,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,34,40,43,73,57,57,52
220084,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,1742,MIDDLESEX,9783691400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,82,82,47,70,79,46,41
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,2215,SUFFOLK,6176677000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,76,60,48,54,67,62,38
220088,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,2120,SUFFOLK,6177545800,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,5,82,72,79,76,94,100,66
220090,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,1757,WORCESTER,5084731190,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,55,46,76,51,37,52,75
220095,HEYWOOD HOSPITAL,242 GREEN STREET,GARDNER,MA,1440,WORCESTER,9786323420,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,46,55,44,42,53,52,54
220098,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,1432,MIDDLESEX,9787849000,Acute Care Hospitals,Proprietary,Yes,Y,3,41,43,34,61,53,77,45
220100,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,2190,NORFOLK,7813408000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,41,71,80,74,50,74,52
220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,6172436000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,62,67,88,56,81,45,90
220105,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,1890,MIDDLESEX,7817299000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,68,54,42,61,74,76,85
220108,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,2186,NORFOLK,6176964600,Acute Care Hospitals,Government - Federal,Yes,Y,4,68,69,72,89,67,55,82
220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,2115,SUFFOLK,6177325500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,34,43,51,47,77,68,61
220111,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,2301,PLYMOUTH,5084273000,Acute Care Hospitals,Proprietary,Yes,Y,3,47,52,45,78,56,31,43
220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,2111,SUFFOLK,6176365000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,22,69,36,54,24,69,37
220119,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,2130,SUFFOLK,6179837000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,52,49,81,53,66,88,70
220126,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,2062,NORFOLK,5087721000,Acute Care Hospitals,Proprietary,Yes,Y,3,50,76,34,74,44,62,72
220135,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,2540,BARNSTABLE,5085485300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,44,76,76,69,62,33,45
220163,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,WORCESTER,MA,1655,WORCESTER,5083341000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,20,20,47,30,39,31,54
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803,MIDDLESEX,7817445100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,57,60,72,77,74,37,80
220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MIDDLESEX,5083831000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,65,49,43,59,78,66,65
220176,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,WORCESTER,5083635000,Acute Care Hospitals,Proprietary,Yes,Y,3,56,59,40,62,45,59,42
220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,0,20,29,13,8,32,40,34
221300,MARTHA'S VINEYARD HOSPITAL INC,"ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",OAK BLUFFS,MA,2557,DUKES,5086930410,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,73,85,78,65,42,48,46
221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,52,41,81,85,75,61,89
221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,43,76,67,40,61,78,49
223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BRIGHTON,MA,2135,SUFFOLK,6172543800,Childrens,Voluntary non-profit - Private,No,Y,0,19,40,24,28,17,12,12
223302,BOSTON CHILDREN'S HOSPITAL,300 LONGWOOD AVENUE,BOSTON,MA,2115,SUFFOLK,6177356000,Childrens,Voluntary non-profit - Private,Yes,Y,0,5,8,15,37,38,50,33
223303,SHRINERS' HOSPITAL FOR CHILDREN (THE),516 CAREW STREET,SPRINGFIELD,MA,1104,HAMPDEN,4137872000,Childrens,Voluntary non-profit - Private,No,,0,5,45,36,9,33,42,41
223304,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",51 BLOSSOM STREET,BOSTON,MA,2114,SUFFOLK,6177223000,Childrens,Proprietary,No,Y,0,41,11,11,26,20,19,5
